Zupanija,Mjesto,Tvrtka,Pozicija,vrijedi_do,link_za_posao
Varaždinska,Sigetec Ludbreški,"UGOSTITELJSKI OBRT ""AURA"" VL. TOMISLAV HORVAT",Konobar/konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751194/
Varaždinska,Varaždin,HOTEL VARAŽDIN društvo s ograničenom odgovornošću za...,Konobar / konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751190/
Varaždinska,Varaždin,GASTROCOM D.O.O. ZA UGOSTITELJSTVO I TRGOVINU,Konobar / konobarica,10 dana do isteka,https://www.posao.hr/oglasi/konobar-konobarica/751189/
Varaždinska,Varaždin,Poliklinika SVETI NIKOLA d.o.o. za obavljanje...,Medicinska sestra/medicinski tehničar,10 dana do isteka,https://www.posao.hr/oglasi/medicinska-sestra-medicinski-tehnicar/751146/
Varaždinska,Varaždin,BRANDBULL društvo s ograničenom odgovornošću za...,Radnik/radnica u montaži obuće,12 dana do isteka,https://www.posao.hr/oglasi/radnik-radnica-u-montazi-obuce/751395/
Varaždinska,Petrijanec,OBITELJSKI DOM LEVANIĆ,Medicinska sestra/medicinski   tehničar,10 dana do isteka,https://www.posao.hr/oglasi/medicinska-sestra-medicinski-tehnicar/751143/
Varaždinska,Varaždin,BRANDBULL društvo s ograničenom odgovornošću za...,Pomoćni radnik/pomoćna radnica u montaži obuće,12 dana do isteka,https://www.posao.hr/oglasi/pomocni-radnik-pomocna-radnica-u-montazi-obuce/751384/
Varaždinska,Varaždinske Toplice,ECO PROJEKT društvo s ograničenom odgovornošću za...,Projektant - suradnik/projektantica - suradnica,10 dana do isteka,https://www.posao.hr/oglasi/projektant-suradnik-projektantica-suradnica/751129/
Varaždinska,Varaždin,MARLEX društvo s ograničenom odgovornošću za...,Monter/monterka pvc i alu stolarije,12 dana do isteka,https://www.posao.hr/oglasi/monter-monterka-pvc-i-alu-stolarije/751380/
Grad Zagreb,Zagreb,LAUTUS društvo s ograničenom odgovornošću za trgovinu...,Kuhar/ica i pomoćni/a kuhar/ica,25 dana do isteka,https://www.posao.hr/oglasi/kuhar-ica-i-pomocni-a-kuhar-ica/754228/
Grad Zagreb,Zagreb,NITO MOTO društvo s ograničenom odgovornošću za...,Automehaničar/ka,2 dana do isteka,https://www.posao.hr/oglasi/automehanicar-ka/754298/
Grad Zagreb,Zagreb,BOA PROMOCIJA d.o.o. za trgovinu i usluge,Trgovački/a putnik/ca,10 dana do isteka,https://www.posao.hr/oglasi/trgovacki-a-putnik-ca/754190/
Grad Zagreb,Zagreb,TENDERI društvo s ograničenom odgovornošću za obradu...,Telesales operater/ka za poslovne korisnike,2 dana do isteka,https://www.posao.hr/oglasi/telesales-operater-ka-za-poslovne-korisnike/754268/
Grad Zagreb,Zagreb,DOM ZA STARIJE OSOBE MAKSIMIR,Pomoćni/a radnik/ca u kuhinji,2 dana do isteka,https://www.posao.hr/oglasi/pomocni-a-radnik-ca-u-kuhinji/754241/
Grad Zagreb,Zagreb,DOM ZA STARIJE OSOBE MAKSIMIR,Kuhar/ica,2 dana do isteka,https://www.posao.hr/oglasi/kuhar-ica/754223/
Grad Zagreb,Zagreb,KAMPER d.o.o.  za trgovinu,Logističar/ka - dostavljač/ica,2 dana do isteka,https://www.posao.hr/oglasi/logisticar-ka-dostavljac-ica/754197/
Grad Zagreb,Zagreb,SF-AS USLUGE društvo s ograničenom odgovornošću za...,Pomoćni/a radnik/ca- pomoćni/a automehaničar/ka,24 dana do isteka,https://www.posao.hr/oglasi/pomocni-a-radnik-ca-pomocni-a-automehanicar-ka/754304/
Grad Zagreb,Zagreb,SMART FLEX društvo s ograničenom odgovornošću za...,Laboratorijski/a radnik/ca,5 dana do isteka,https://www.posao.hr/oglasi/laboratorijski-a-radnik-ca/754358/
Grad Zagreb,Zagreb,HADDAD za proizvodnju i promet društvo s ograničenom...,Voditelj/ica domaćinstva / kuhar/ica,26 dana do isteka,https://www.posao.hr/oglasi/voditelj-ica-domacinstva-kuhar-ica/754354/
Grad Zagreb,Zagreb,HADDAD za proizvodnju i promet društvo s ograničenom...,"Spremač/ica, voditelj/ica domaćinstva",26 dana do isteka,https://www.posao.hr/oglasi/spremac-ica-voditelj-ica-domacinstva/754353/
Grad Zagreb,Zagreb,HADDAD za proizvodnju i promet društvo s ograničenom...,Krojač/ica - šivač/ica,26 dana do isteka,https://www.posao.hr/oglasi/krojac-ica-sivac-ica/754313/
